userName,score,content,thumbsUpCount,at,replyContent,reviewId
Ana Ferreira,3,"Bom!,Ele é fácil de mecher porém cansativo se tivesse algo que por exemplo colocar tarefas rápido seria ótimo!",0,2023-10-18 02:39:19,Agradecemos sua avaliação positiva e sugestão! Estamos considerando formas de adicionar tarefas mais rapidamente para otimizar sua experiência. Fique atento às atualizações!,76c014da-4f64-4c45-91e2-f538f9a43ec3
Manuella Sobrinho Ferreira,5,perfeito super recomendo é de graça ok 👍 não paga nada é só você escolher oque vai botar 👍,6,2023-09-16 16:22:31,"Olá! 👍 Ficamos muito contentes que você esteja aproveitando o nosso aplicativo e achando ele fácil de usar! Agradecemos muito pela sua recomendação e apoio! Continue aproveitando o Rotina Divertida e, se tiver alguma sugestão ou dúvida, estamos à disposição para ajudar!",0b83233c-dd8a-46fe-9577-c2512628e54d
Patrícia Lima,3,"É ótimo mais tem um problema quando você vai adicionar as tarefas pra rotina diz que você precisa pagar 14,99R$. Não entendi 🤦🏻‍♀️🤷🏻‍♀️😫😥",0,2023-09-13 14:57:08,"Agradecemos pelo seu feedback! Lamentamos a confusão. No Rotina Divertida gratuito, é possível adicionar até 10 tarefas por rotina. Para mais tarefas, considere a versão PRO. Agradecemos sua compreensão e estamos aqui para ajudar!
Caso tenha mais dúvidas ou feedbacks, por favor, não hesite em entrar em contato conosco!",2e8dcc52-ee38-4f67-9107-d46d50aa6759
Fábio Franco Moreira,3,E bom minha filha faz tudo direitinho mas é ruim que a cada feito é um comercial,0,2023-09-11 23:18:17,"Olá! Agradecemos muito pelo seu feedback. Sabemos que os anúncios podem às vezes interferir na experiência do usuário, e levamos suas preocupações muito a sério. Temos boas notícias! Recentemente fizemos uma atualização para reduzir a quantidade de anúncios no aplicativo. Esperamos que isso torne a experiência do uso ainda melhor! 🌟",0be9f906-d14e-4d35-a15a-bfc7709b1f2e
Dheycesilva Dheyce,5,Gostei mesmo que minhas filhas não tenham autismo..😍❤️,0,2023-09-05 11:39:48,Ficamos muito felizes em saber que o Rotina Divertida é útil e amado por todas as famílias. Nosso objetivo é tornar as rotinas diárias mais fáceis e divertidas para todos. Agradecemos pelo seu feedback positivo! 😊❤️,e9fcf0fc-17ed-459f-a308-f84a9e551280
Ester Castro,5,"Amei, estava precisando de um app assim para ajudar nos afazeres de casa com minha filha. Ela gostou também e o melhor é que as estrelas fazem com que ela queira fazer tudo sem questionar, pois não quer ficar sem estrelas no dia. Obrigada pela criação do app, você teve uma ótima iniciativa que vai ajudar muitos pais",2,2023-08-29 10:52:12,Ficamos extremamente felizes com o seu feedback! É maravilhoso saber que o Rotina Divertida está ajudando a criar uma dinâmica produtiva em sua casa. O sistema de estrelas foi pensado exatamente para motivar as crianças. Agradecemos por compartilhar sua experiência e desejamos muitos dias estrelados para sua filha! 😊🌟,b510eb1b-aebe-463f-90ef-ea129062a615
Cacau Zamuner,4,Uma pena que tem só 10 tarefas na versão free...,0,2023-07-18 01:30:15,"Agradecemos pelo seu feedback! Esta restrição existe devido aos custos para manter o projeto ativo. Ainda assim, esperamos que consiga tirar proveito da nossa aplicação. Obrigado pela sua compreensão!",a0ac3ce5-d4b8-4d0e-aa61-bd20eeabfefb
Juu Stanieski,2,"O app em si é bom, mas passei uma raiva enorme porque eu tentava colocar qualquer foto de perfil e sempre aparecia ""não foi possível fazer upload da imagem""",2,2023-06-30 15:06:17,"Boa tarde Juju,
De fato estávamos com problema pra fazer upload da imagem, mas já foi corrigido.
Obrigado pelo feedback.
Pode tentar novamente, por favor?",73338e32-838d-464c-97d0-bab6eacb6233
Alessandra Oliveira,2,"O app diz que podemos criar uma tarefa mas isso não acontece, bem chato eu até gostei do aplicativo mas por esse motivo não me serve.",0,2023-06-27 02:10:54,"Boa tarde Alessandra,
De fato estávamos com problema na criação de tarefas, mas já foi corrigido.
Obrigado pelo feedback.
Pode tentar novamente, por favor?",43c65d08-7725-4c84-b8bb-ca54527790da
Livia Ximenes,5,"EU AMEI!!! MUITO BOM PRA ORGANIZAR A ROTINA DA CRIANÇA, EU PRINCIPALMENTE USO PORQUE EU ODEIO NAO TER UM ROTINA ORGANIZADA ASSIM POSSO TER MAIS TEMPO E SEI OQUE FAZER E NAO FICO NO TÉDIO E MUITO BOM SERIOO",0,2023-06-23 14:19:03,"Ficamos extremamente felizes em saber que o aplicativo está sendo útil e ajudando na organização da rotina! Entendemos a importância de ter um dia a dia estruturado, e é ótimo ver que está trazendo benefícios e evitando momentos de tédio para você. Agradecemos muito pelo seu feedback e continue aproveitando! 😊",bafd3db5-7a8b-4129-be70-eb3fa5ba7e44
Hendy Lopes,5,Ótimo app para auxiliar e estimular as crianças a executar as tarefas do dia a dia.,0,2023-06-17 01:03:45,Ficamos muito felizes em ouvir isso! Nosso objetivo é justamente auxiliar e motivar as crianças nas suas atividades diárias. Agradecemos pelo seu feedback positivo!,9cbd0abf-2c20-4e23-a811-2938832fe80d
Luiz C Mendes S Filho,5,5 estrela após testar vou ver se vale apena.,0,2023-06-16 14:12:31,,5a7a960d-04c3-41e9-be4a-8368a6f4f49a
Adriana Pereira Torres,5,Muito bom aplicativo para rotina de qualquer criança. Dá independência e motivação,5,2023-06-02 00:49:50,Ficamos muito felizes em ouvir isso! Nosso objetivo é justamente promover independência e motivação para as crianças em suas rotinas diárias. Agradecemos pelo seu feedback e esperamos continuar atendendo às suas expectativas!,402c2512-3cf8-458b-b146-98e9a5a75936
Lorraine Nogueira - Doces Personalizados e Bolos,5,Estou amando o app. E meus filhos tbm. Super recomendo.,0,2023-05-24 15:08:57,Que bom ouvir isso! Ficamos muito felizes em saber que você e seus filhos estão gostando do aplicativo. Agradecemos pela recomendação e pelo seu feedback positivo. Esperamos continuar atendendo às suas expectativas e contribuindo para uma rotina mais organizada e divertida para sua família! 😊🙌,dfea99a0-73d4-4134-a8d1-0c15e612ce2a
Luzenir Bessa,4,"Gostei muito, didático, fácil de usar, meu filho amou... Uma sugestão incluir o relatório de sentimentos, para os pais e profissionais da psicologia será útil para ajudar as crianças a lidar com as emoções.",1,2023-05-17 09:00:47,,10ef2856-480a-43d2-949e-5b75b7fc4df4
Daniel Silva,5,"Muito intuitivo, fácil de usar. Recomendo 👍",0,2023-05-11 19:19:10,Ficamos muito felizes em saber que você achou nosso aplicativo intuitivo e fácil de usar! Agradecemos a recomendação e esperamos continuar atendendo às suas expectativas. Obrigado pelo feedback! 👍,4261a77d-2e74-48b3-8dd5-b5f0eb0cee14
Flavia Cristina,5,"Maravilhoso, adorei.",0,2023-04-07 22:16:02,"Olá! Ficamos muito felizes em saber que você está adorando o Rotina Divertida. Agradecemos o seu feedback positivo e continuaremos trabalhando para proporcionar a melhor experiência possível aos nossos usuários. Se tiver alguma sugestão ou dúvida, por favor, sinta-se à vontade para nos contatar!",8bc6508e-7a3b-4f54-a719-c20dff9a9064
anne bogari,5,Excelente! Muito funcional para o dia a dia,0,2023-04-05 15:43:14,"Olá! Ficamos contentes em saber que o Rotina Divertida tem sido útil e funcional no seu dia a dia. Agradecemos o feedback positivo e continuaremos trabalhando para melhorar ainda mais a experiência do usuário. Se tiver alguma sugestão ou dúvida, por favor, não hesite em nos contatar!",cae1648e-70b7-4c0e-9489-eee2cd3dea70
Raphael Ferreira,3,"Oiê, na versão completa tem como a criança bater uma foto e enviar para o responsável validar o ponto recebido pela criança?",1,2023-04-02 23:42:40,,22861e5a-6c2b-4bed-bb68-ae1f67ba504f
Thaissa Dib,5,Excelente!! Muito bem estruturado e intuitivo!,0,2023-03-31 02:37:04,"Obrigado pelo feedback positivo! Ficamos felizes que acha o app bem estruturado e intuitivo. Continuaremos trabalhando para melhorar a experiência. Se tiver sugestões ou dúvidas, estamos à disposição!",a9683cf5-c6d7-43df-8a2a-a2a76e6b7d31
Ateliê Mahe Art's,1,"Cadastrei o e-mail e senha mas quando chega em dependes o app trava. Não é possível entrar em configurações, abre direto na tela dependente e trava",1,2023-03-22 13:42:44,"Olá Ateliê Mahe Art's,

Subimos um correção e em breve estará disponível para atualização do aplicativo.

** Obs. Passos: Na lista de apps, encontra o app do Rotina Divertida, pressiona e segura pressionado até aparecer as opções. Toca no ícone (i) e vai abrir as configurações do app. Nessa tela é possível habilitar o recebimento de notificações.",c12e5acc-539f-4e00-9b56-ddd4c88d24ee
Clínica Santa Tereza,1,Não consigo cadastrar nenhum dependente. Ele trava e não passa da tela.,0,2023-03-21 13:27:10,"Olá kamilly silverio ferreira,

Subimos um correção e em breve estará disponível para atualização do aplicativo.
Enquanto isso, para resolver esse problema, acesse as configurações do aplicativo e permita o recebimento de notificações. Feito isso, o app não vai mais ficar travado.

Obrigado pela compreensão.",f37c1ee2-cf6a-4668-a085-0877b16a057a
Arashely .M,5,"Excelente , ajuda muito a meu filho se organizar!!!",0,2023-03-06 01:46:28,"Ficamos felizes em saber que o app tem ajudado seu filho na organização! Agradecemos o feedback positivo e continuaremos trabalhando para oferecer a melhor experiência possível. Se tiver sugestões ou dúvidas, estamos à disposição!",e03682e9-8a1f-4f65-8fd7-93770e9327ef
Simone A.R.T.,5,"Ótimo aplicativo. Além das tarefas já pré estabelecidas, dá a oportunidade de criar as próprias, personalizando de acordo com as necessidades individuais da criança. Fiquei interessada no plano vitalício. Mas ficou a dúvida sobre se é mesmo vitalício. Tipo, paga uma só vez o valor e não descontam nunca mais da conta associada? Se for assim, acho que vale muito a pena. Gerencio no meu celular e a rotina aparece no tablet do meu filho.",1,2023-03-05 17:26:26,"Olá! Que bom que gostou do app! Sim, o plano vitalício é realmente vitalício: paga-se uma vez e não há mais descontos na conta. Aproveite todas as funcionalidades sem pagamentos futuros. Esperamos que isso ajude na sua decisão e que continue usando o Rotina Divertida!",8aabfd42-2fae-4742-80ce-b3836af8ff27
Giovana Prada,5,"Maravilhoso! Excelente para TDAH!!!! 2 filhos e marido com TDAH e o app está fazendo milagres aqui! Colocamos as tarefas do casal tb, pq assim as crianças veem que todos têm tarefas e obrigações. Estão menos combativos e rebeldes; fazem a higiene sem brigar!!!! Podem classificar o app para auxílio do TDAH tb! Parabéns pelo app!",2,2023-02-21 13:25:02,Ficamos muito felizes em saber que o app tem sido útil para toda a família e auxiliado no manejo do TDAH! Agradecemos o feedback e a sugestão de classificação para auxílio no TDAH. Continuaremos trabalhando para melhorar a experiência dos usuários. Parabéns pela dedicação à família e conte conosco!,b671d468-1217-438a-bb30-a4ce8c5e1596
Cris Cruz,5,Meu filho tá mais disciplinado graças a esse app,0,2023-02-06 00:58:28,,29ef2fb9-eb26-44b9-8ef3-5c1556894747
Jennifer Scarpiello,5,Estou com problemas Lara redefinir a senha. Esqueci a senha atual e não consigo redefinir uma nova senha para acessar de outro aparelho.,0,2023-02-01 23:37:56,,16d7bdaf-e453-4382-8fe3-6fc039451f61
Raphaela Reis,5,Estou testando o App ainda. No momento não consegui visualizar a conta solicitanda para alterar a rotina como ADM no caso pede o resultado apenas!,0,2023-01-19 17:45:22,"Lamentamos a dificuldade que está enfrentando. Para acessar como ADM e alterar a rotina, normalmente há uma área específica para administradores. Certifique-se de estar usando a versão mais atualizada do aplicativo. Se o problema persistir, entre em contato com nosso suporte técnico. Estamos aqui para ajudar! Obrigado pelo feedback.",c4f0bf18-df13-4e2a-9e4b-cf7d8418c8e5
Sarah Silverio Gomes Sarinhah,5,Muito bom,0,2023-01-17 11:58:48,Ficamos contentes que você esteja gostando do aplicativo Rotina Divertida! Agradecemos seu feedback positivo e continuaremos trabalhando para melhorar a experiência de todos os usuários. Obrigado por usar nosso aplicativo!,1141da4e-5109-44c8-a598-fcc168e1b6bd
Carolyna Costa,4,Bom,0,2023-01-13 15:46:31,Obrigado pelo seu feedback! Ficamos felizes em saber que você considera o aplicativo Rotina Divertida bom. Continuaremos trabalhando para melhorar e oferecer uma experiência ainda melhor para nossos usuários.,2f361c77-b25a-4ef0-8083-919c2552c7cb
Adriana de Paula,5,"Fácil, eficaz e de fácil aceitação pelas crianças! Recomendo",0,2022-12-26 13:22:35,"Que bom que você achou nosso aplicativo fácil, eficaz e bem aceito pelas crianças! Agradecemos a sua recomendação e ficamos muito felizes em saber que o Rotina Divertida tem sido útil para você e sua família. Se tiver alguma sugestão ou dúvida, por favor, não hesite em nos contatar. Obrigado por seu apoio!",c6ae4a8d-6ce0-4073-ad23-8dcc253f3784
Eva Marques,3,A edição de rotina já criada não funciona. A versão gratuita tem muitos anúncios,0,2022-12-05 10:17:35,,90b93da0-adba-406d-a326-80c035d39931
Elenilda Fernandes,5,App show e ainda interativo e envolve toda a família!! Até recompensas relacionadas as atividades e muito mais!! Super especial e recomendável...,0,2022-11-16 02:22:26,"Ficamos muito felizes em saber que você e sua família estão aproveitando o aplicativo e achando-o interativo! Agradecemos o feedback positivo e a recomendação. Continuaremos trabalhando para proporcionar a melhor experiência possível a todos os usuários. Se tiver sugestões ou dúvidas, estamos à disposição!",ba84adcc-a2f2-4660-b75a-7d3d45134889
Santiago Azevedo,5,😍,0,2022-11-14 18:23:16,,88834682-d327-4e6c-a8eb-1e9ffe605877
Fernanda Bittencourt,4,Muito bom e fácil de usar,0,2022-11-13 21:44:53,Obrigado pelo seu feedback positivo! Ficamos felizes em saber que você achou o aplicativo Rotina Divertida fácil de usar e que está funcionando bem para você. Continuaremos trabalhando para fornecer uma experiência de usuário simples e intuitiva para todos os nossos usuários. Obrigado por usar nosso aplicativo!,6ef7205a-e2fc-4653-b1f4-2fb6f9936eae
Teacher Pri Camara,5,"Maravilhoso app. Sou TEA, terapeuta ABA e mãe de TEA e estamos adorando. Adquirimos a versão pro. Temos muitas contribuições a oferecer. A primeira seria consertar um bug. Todas as vezes que cadastro nova recompensa para apareça no app da pessoa dependente tem que desconectar e reconectar a conta dela. Daí todo o processo de gerar novo código de acesso. O que impede fazer isso a distância. Podem consertar isso? Gratidão 🙏☺️ parabéns 👏👏👏 pela iniciativa.",1,2022-11-04 15:35:00,"Ficamos felizes que esteja gostando do app! Agradecemos o feedback e a informação sobre o bug. Vamos investigar e trabalhar para corrigi-lo o quanto antes. Sua contribuição é valiosa para nós. Se tiver mais sugestões ou dúvidas, fique à vontade para nos contatar.",900ca32c-ede3-4bd5-8e32-962903d2e47d
Rosana Ledur,5,Excelente! Aplicativo fácil de usar e dá pra personalizar as atividades e as recompensas. Meus filhos adoraram e eu tbm! Usamos por 1 semana e tem sido muito positiva a experiência.,0,2022-11-01 01:57:33,"Ficamos contentes em saber que você e seus filhos estão tendo uma experiência positiva com o aplicativo! Agradecemos o feedback e continuaremos trabalhando para oferecer uma ótima experiência aos usuários. Se tiver sugestões ou dúvidas, estamos à disposição para ajudar!",ccc3784c-be1e-4a70-a9dd-023ce123e932
Flavio Costa,5,"Muito bom o App. Só gostaria de sugerir a possibilidade de editar as estrelas de uma tarefa, após a conclusão, pois dentro de algumas tarefas, pra estimular o compromisso com horários, estipulo que no horarios recebe X estrelas e ser atrasar recebe menos, ele não deixa de ser recompensado, porém no horário correto a rexompensa é maior. Abraço e parabéns pelo App.",0,2022-10-31 12:57:12,"Obrigado pelo feedback e sugestão! Ficamos contentes que gostou do app. Vamos considerar a possibilidade de editar estrelas após a conclusão de tarefas para futuras atualizações. Seu apoio é muito importante para nós. Se tiver mais sugestões ou dúvidas, estamos à disposição! Abraço!",01a29068-e51a-451e-841b-2f08398649c9
Milene Juliano,5,"Adorei o aplicativo, porém para os meus filhos demora muito para abrir o aplicativo. Estou na versão gratuita não sei se poderia ser isso. Os desenvolvedores poderiam checar isso com carinho. Eu tenho um escola e passei para algumas famílias como orientação. Parabéns pela ideia. Achei incrível!!! Podem contar comigo para futuros testes de outros APP.",0,2022-10-26 08:49:49,"Obrigado pelo feedback e pelo apoio! Lamentamos o problema com o tempo de abertura do aplicativo. Vamos verificar isso com atenção, independente da versão utilizada. Ficamos gratos por recomendar o app e apreciamos sua disposição para futuros testes. Se tiver sugestões ou dúvidas, conte conosco!
",687e2a6f-5a81-4025-8b9f-e7dafee7b137
Eder Pedroso,5,"Perfeito, sou estagiário e cuido de um aluno da educação fundamental com TEA e o aplicativo está sendo ótimo. Parabéns!",0,2022-10-21 14:18:35,brigado pelo seu feedback positivo! Ficamos felizes em saber que o nosso aplicativo Rotina Divertida tem sido útil no seu trabalho como estagiário no cuidado de um aluno com TEA. Agradecemos por usar o nosso aplicativo e por fazer a diferença na vida do seu aluno.,b8c6c445-f25b-4b96-ab9b-f6a36ec7eed5
Valeria Rosana Santos Pedroga,5,Tem me ajudado bastante com meu filho. Parabéns!!!,0,2022-10-15 11:59:47,Ficamos felizes em saber que o nosso aplicativo Rotina Divertida tem sido útil para ajudar você com seu filho. Agradecemos seu feedback positivo e estamos comprometidos em fornecer um aplicativo acessível e útil para pessoas com necessidades especiais e suas famílias. Obrigado por usar nosso aplicativo e por confiar em nós!,4b761dac-8d49-44b0-a184-427a5fd555ba
Ana Carolina Mello,5,Amando!! To quase criando uma rotina pra mim mesma.,0,2022-10-13 00:31:44,"Obrigado pelo seu feedback positivo! É ótimo saber que você está amando o nosso aplicativo Rotina Divertida e que ele está ajudando você a criar uma rotina para si próprio. Agradecemos por usar o nosso aplicativo e estamos comprometidos em fornecer uma experiência de usuário útil e personalizável para todas as idades. Obrigado novamente!
",fdf4f6c7-22fd-4c0a-9093-45a932ff6ee3
Ju Lira,5,Amei,0,2022-10-08 16:33:05,Obrigado pelo seu feedback positivo! Ficamos muito felizes em saber que você amou o nosso aplicativo Rotina Divertida. Obrigado por usar o nosso aplicativo!,ad2c2a99-80a1-400b-b0e5-4c6621e584d6
roberta Rodrigues,5,"Maravilhoso😍😍😍 fiz duas rotinas pra mim e pra minha filha, estamos amando. Fácil e prático, tem as principais funções diárias, e ainda tem como adicionar mais funções, parabéns é a melhor experiência que temos, já recomendei ❣️",0,2022-10-03 22:32:20,"Ficamos contentes que estejam gostando do Rotina Divertida! Nosso foco é tornar a organização das atividades simples e prática. Agradecemos por compartilhar e recomendar nosso app! Continuaremos aprimorando. Caso tenham sugestões ou dúvidas, estamos à disposição. Obrigado pelo feedback! 😊",6f1c0fbe-f527-48b3-b5db-6b71b7a49622
